0 1,0 2,0 3,0 4,0 5,1 1,1 2,1 3,1 4,1 5,2 1,2 2,2 3,2 4,2 5,3 1,3 2,3 3,3 4,3 5,4 1,4 2,4 3,4 4,4 5,5 1,5 2,5 3,5 4,5 5,6 1,6 2,6 3,6 4,6 5,7 1,7 2,7 3,7 4,7 5,8 1,8 2,8 3,8 4,8 5,9 1,9 2,9 3,9 4,9 5
0.0357,0.01517,0.01991,0.02085,0.0417,0.00948,0.01801,0.01074,0.01074,0.01327,0.01422,0.02054,0.01106,0.00758,0.04802,0.01106,0.02212,0.01485,0.01833,0.01327,0.01295,0.01043,0.05055,0.01074,0.01137,0.04234,0.00474,0.04329,0.01706,0.04645,0.01485,0,0.06351,0.02907,0.05908,0.09478,0.03349,0.0158,0.01548,0.02085,0.07836,0.04044,0.07646,0.04771,0.07804,0.09953,0.03981,0.07678,0.02749,0.01801
0.03791,0.01643,0.01706,0.01991,0.04297,0.00727,0.01232,0.01359,0.01043,0.01201,0.01232,0.02149,0.01106,0.00537,0.05213,0.01106,0.01927,0.01517,0.02117,0.01548,0.01043,0.01011,0.05118,0.01137,0.01106,0.04234,0.00442,0.04234,0.02275,0.0455,0.01359,0.00158,0.06667,0.0278,0.05498,0.07709,0.03855,0.01643,0.0218,0.01485,0.08784,0.04392,0.07962,0.04518,0.08183,0.10616,0.0417,0.07678,0.02717,0.0218
0.04107,0.02117,0.01769,0.01959,0.03791,0.01043,0.01232,0.00853,0.01264,0.01611,0.01485,0.0218,0.01232,0.00253,0.05087,0.01453,0.01517,0.01485,0.0218,0.01517,0.01422,0.01359,0.05245,0.01011,0.00948,0.04139,0.00411,0.04802,0.02401,0.04455,0.01674,-0.00126,0.05719,0.03128,0.05561,0.0812,0.03349,0.01706,0.01769,0.01896,0.08025,0.0357,0.07425,0.04708,0.07488,0.09921,0.0436,0.08278,0.03002,0.0218
0.04044,0.01738,0.01611,0.02243,0.04202,0.00979,0.01169,0.01169,0.01453,0.01706,0.0139,0.02212,0.01327,0.00474,0.05561,0.01169,0.02085,0.0139,0.01832,0.01706,0.00948,0.01453,0.05434,0.01043,0.00853,0.04802,0.00442,0.0436,0.01959,0.04139,0.0139,-3.16E-04,0.05498,0.03223,0.0594,0.07867,0.03918,0.01485,0.01769,0.01769,0.08025,0.04076,0.07362,0.0376,0.08373,0.10332,0.03981,0.08088,0.0218,0.02212
0.03381,0.01738,0.02054,0.02054,0.03728,0.01011,0.01011,0.01295,0.01548,0.01643,0.01422,0.01959,0.01453,0.00316,0.05055,0.01137,0.01769,0.01548,0.01864,0.0139,0.01201,0.01327,0.05308,0.0139,0.01359,0.04487,0.00253,0.04329,0.01959,0.04739,0.01359,0.00253,0.05466,0.02559,0.05813,0.07709,0.03633,0.01485,0.01674,0.01453,0.08088,0.04139,0.08278,0.04644,0.07678,0.10363,0.03886,0.07994,0.02528,0.01769
0.03823,0.02085,0.01769,0.02054,0.03918,0.00695,0.01137,0.00979,0.01106,0.01517,0.01043,0.0237,0.01295,0.00474,0.05529,0.01137,0.01643,0.01453,0.01991,0.01422,0.01201,0.01264,0.05308,0.01137,0.01201,0.0436,0.00442,0.03855,0.02528,0.04392,0.01453,0.00284,0.06161,0.02938,0.05087,0.07204,0.03823,0.01896,0.01832,0.01706,0.07994,0.03886,0.07456,0.04676,0.08467,0.097,0.04076,0.0793,0.02812,0.01643
0.03697,0.01991,0.01991,0.02212,0.04771,0.00948,0.01106,0.01137,0.01548,0.01327,0.01264,0.02085,0.01295,0.00474,0.05245,0.01106,0.01896,0.01517,0.02212,0.01264,0.01295,0.01548,0.0534,0.01169,0.00853,0.04265,0.00411,0.04297,0.02496,0.04455,0.01801,0.00189,0.05877,0.03286,0.05845,0.08025,0.03507,0.01738,0.01769,0.01991,0.07614,0.03191,0.07456,0.04455,0.08847,0.09668,0.0357,0.08183,0.03096,0.02433
0.0357,0.01548,0.02054,0.02212,0.03823,0.00695,0.01422,0.00758,0.01295,0.01201,0.01485,0.02117,0.0139,0.00316,0.04992,0.01137,0.01769,0.01232,0.02022,0.01643,0.01358,0.01453,0.05529,0.01232,0.01043,0.04392,0.00442,0.04013,0.0218,0.05182,0.01264,0.00379,0.06129,0.0237,0.05719,0.08025,0.0376,0.02117,0.01769,0.01927,0.0752,0.03728,0.08341,0.04297,0.08531,0.09889,0.04107,0.07836,0.02559,0.0218
0.03507,0.01738,0.01864,0.02054,0.03633,0.00885,0.01137,0.01327,0.01422,0.01674,0.01422,0.02338,0.01137,0.00664,0.04487,0.01201,0.02054,0.01548,0.02085,0.01548,0.01137,0.01422,0.05213,0.01264,0.00885,0.04265,0.00442,0.03886,0.02117,0.04581,0.01801,0.00284,0.05592,0.03033,0.05403,0.07741,0.03633,0.01706,0.0158,0.01769,0.08246,0.03286,0.08152,0.04297,0.08657,0.08341,0.03886,0.07772,0.02496,0.01516
0.03381,0.01453,0.01674,0.01896,0.03949,0.00727,0.00979,0.0139,0.01295,0.01232,0.01232,0.02528,0.01422,0.00853,0.0515,0.01359,0.0199,0.01485,0.01927,0.01643,0.0158,0.0139,0.0575,0.01138,0.0139,0.04265,0.00379,0.04739,0.02149,0.04992,0.01801,3.16E-04,0.05403,0.02875,0.05087,0.07109,0.03475,0.01485,0.01295,0.01738,0.07235,0.03444,0.08499,0.04487,0.0812,0.08973,0.03697,0.08341,0.03002,0.0199
0.03475,0.01832,0.0158,0.01675,0.03886,0.00979,0.01517,0.01138,0.01422,0.01453,0.01485,0.02306,0.01264,0.00284,0.05466,0.01548,0.01675,0.01548,0.01991,0.01738,0.01359,0.01295,0.05403,0.01201,0.01043,0.0496,0.00284,0.0417,0.02338,0.04676,0.0158,0.00316,0.05308,0.0297,0.05782,0.07362,0.03633,0.01264,0.01453,0.01517,0.07551,0.03728,0.08025,0.03665,0.08278,0.08436,0.03444,0.08404,0.03349,0.02686
0.03791,0.01769,0.01959,0.01991,0.04423,0.00569,0.01201,0.01106,0.01517,0.0139,0.01548,0.02306,0.01264,0.00348,0.0496,0.01201,0.01643,0.01611,0.02591,0.01422,0.01232,0.01327,0.05655,0.0139,0.01295,0.05055,0.00537,0.04265,0.01801,0.04234,0.01643,0.00189,0.05371,0.03254,0.06382,0.07741,0.03728,0.01643,0.01864,0.01674,0.0733,0.03665,0.08373,0.04297,0.08689,0.08183,0.03602,0.08531,0.03096,0.01517
0.03918,0.01864,0.01896,0.02085,0.03886,0.00663,0.01422,0.01358,0.01359,0.01264,0.01295,0.02054,0.01295,0.006,0.05624,0.01264,0.01706,0.01232,0.02148,0.01706,0.01043,0.01485,0.05908,0.00885,0.01043,0.04518,0.00442,0.04518,0.0218,0.04739,0.01422,0.00379,0.05655,0.03002,0.05908,0.07741,0.03381,0.01991,0.02117,0.02054,0.08941,0.03728,0.08057,0.0455,0.08815,0.08278,0.04076,0.07993,0.03128,0.01738
0.03949,0.01833,0.01959,0.01738,0.03823,0.01327,0.0139,0.01074,0.01359,0.01201,0.01611,0.02496,0.01201,0.006,0.05308,0.01106,0.01927,0.01137,0.02433,0.01611,0.0139,0.01232,0.04802,0.01169,0.01422,0.03981,0.00442,0.04265,0.01738,0.04581,0.01517,3.15E-04,0.05877,0.03317,0.05971,0.07457,0.0376,0.01295,0.01769,0.01896,0.08373,0.03886,0.07614,0.04739,0.08341,0.09384,0.03286,0.07425,0.03254,0.02275
0.03254,0.01422,0.02022,0.01706,0.03697,0.01201,0.01485,0.00916,0.01358,0.0139,0.01643,0.0199,0.01232,0.00663,0.0496,0.01106,0.01706,0.01201,0.01801,0.01327,0.01359,0.01011,0.05245,0.01074,0.01201,0.04771,0.00316,0.0455,0.01991,0.04645,0.01548,0.00348,0.05687,0.03191,0.05213,0.07425,0.03665,0.01675,0.02054,0.0199,0.07678,0.04139,0.08246,0.04676,0.08752,0.08309,0.04107,0.08025,0.03444,0.02717
